Card / Deck	Oh God, You Devil	Omnath Bloodbath	What in Damnations	Angela's Party Time	Goblins	The deck with no name	Not Green	Brother of Mishra	Triple H	Blood Bath	Operation Titan	Dee Void	Bosom Buddies	Strange Thingies	Feed your head	Monsters and Mazes	MechaDragonTron	Hydra Porn	Black Hole	Meow Meow Beans	Good guys wear black	No Rares	Pale Horse	Werewolves	Trogdors	I win You lose	Fish Sticks	Slimefoot	Monkey Joe	Land Creation	Fancy Pants	Hell's Angels	X-Men	Zombies!	Vampires	Mill Deck	Heavenly Inferno	Niv-Mezzet	Mono Blue	Big Creature	Jeski Cycle	A.L.B.S.	Super Friends	Mimeoplasm	Bant Enchant	Mono Green (Elves)	Red Artifact	Clones	Gods	Bolas	Breed Lethality
Helm of Kaldra																															1																				
Helm of the Host				1			1																																									1			
Hengegate pathway (flip)																	1									1																							1		
Herald of Slaanesh				1																																															
Heraldic Banner					1																						1					1																			
Hero's Bane																		1																																	
Hero's downfall			1	1		1								1		1			1		1																1													1	
Heroic Intervention										1			1		1			1		1					1			1	1	1																					
Hidetsugu, Devouring Chaos						Commander																																													
Hieroglyphic Ilumination																																									1										
High Market																												1																							
HIghland Forest																								1																											
Highland Lake																																						1													
Hinder																																				1			1												
Hinterland Harbor																																								1											
Hissing Quagmire																												1					1																		
Hive of the Eye Tyrant														1		1			1										1																						
Hobgoblin Bandit Lord					1																																														
Horde-smelter Dragon																																															1				
Hordwing Skaab																																		1																	
Horizon Canopy																																													1						
Horizon Stone												1																																							
Horn of Greed		1																1																								1									
Horn of Ramos																																														1					
Horn of Valhalla															1	1																																			
Hound Tamer																								1																											
Hour of Promise																																																	1		
Hour of Reckoning																							1																												
Howl of the Horde	1																																																		
Howling Giant																						1																													
Howling Mine		1						1				1							1	1			1													1						1									
Howlpack Piper																								1																											
Hull Brech													1											1																											
Hullbreacher																																																			
Hungering Hydra																		1																																	
Hunstmaster of the Fells																								1																											
Hunting Pact																						1																													
Hurricane																								1																											
Hydra Omnivore																		1																																	
Hydra's Growth																																																			1
Hydroid Krasis											1																																								
Ice tunnel				1																					1																										
Icing death the Frost Tyrant																															1																				
Icon of Ancestry					1																																														
Idyllic Tutor																																													1						
Ignoble Hierarch																														1																					
Ikra Shidiqi, the usurper																																																			
Ill-Tempered Loner																								1																											
Imoti, Celebrant of Bounty																						Commander																													
Imperious Perfect															1																															1					
Impervious Greatwurm																																	1																		
Imposter Mech																	1																																		
In Garruk's Wake							1																																												
Increasing Confusion																																				1		1													
Increasing Devotion															1																																				
Increasing Vengeance	1																																																		
Indatha Crystal																																	1																		
Indatha Triome													1																				1																		1
Indomitable Creativity	1																																																		
Inferno Titan						1				1																															1										
Infestation Expert																								1																											
Information Booth									a																																										
Ink-Eyes, Servant of Oni														1																																					
Inkwell Leviathan										1																																									
Inquisitor Eisenhorn																1																																			
Insatiable Hemophage																																	1																		
Insidious Will				1																																		1	1												
Inspiring Vantage																															1				1		1														
Insurrection	1					1																																									1				
Interpret the Signs																						1																													
Into the Wilds		1																																																	
Introduction to Prophecy												1																																							
Inventor's Fair																	1														1																				
Inventors' Fair												1																																							
Invitable Betrayal																											1																								
Ipnu Rivelet																																				1															
Iridian Maelstrom													1																																						
Iroas, God of Victory																																																			
Iron Soul Enforcer																	1																																		
Irrigated Farmland																	1									1															1										
Isolated Chapel																																			1		1														1
It that Betrays												1																																							
Iymrith Desert Doom																1																																			
Izoni, Thousand-Eyed																												1																							
Izzet Guildgate		1																																				1													
Izzet Signet																1																																			
Jace, Memory Adept																																				1															
Jace, the Mind Sculptor																																																		1	
Jace, Vryn's Prodigy																																						1													
Jace, Weilder of Mysteries																																							1												
Jace's Erasure																																				1															
Jagged- Scor Arclaus																																														1					
Jarad's Orders																																																			
Jared Carthalion													Commander																																						
Jaya, Fiery Negotiator	1																																																		
Jegantha, the Wellspring													Companion																																						
Jenson Carthalion, Druid Exile													1																																						
Jester's Cap								1																																											
Jetmir Garden																1																																	1		
Jeweled Lotus																																							1							1	1				
jin-gitaxis, progress tyrant								1		1						1	1		1																																
jin-gitaxis, the core augur											1						1		1						1													1													
jirina Kudro							1																																												
Jodah, the Unifier													1																																						
Jokul Haups																														1																					
Journey to the lost city																1																																			
Jungle Hollow																																	1																		
Jungle Shrine													1																																						
Junji, the Midnight Sky														1																																					
Jwari Disruption																						1																													
Kaervek's Spite														1																																					
Kahlia of the Vast																																					Commander														
Kahlia, Zenith's Seeker																																					1														
Kaldra Compleat					1															1											1																				
Kaldra Compleat																							1																												
Kalitas, Bloodcheif of Get																																			1																
Kalonian Hydra																		1																																	
Kamahl, Heart of Krosa										1										1									1																			Commander 2			
Kamal, Fist of Krosa																																1																			
Kamal's Druidic Vow		1																																																	
Karametra, God of Harvests																																																	1		
Karmic Guide																																									1										
Karn Liberated								1				1																1	1				1																1	1	
Karn, Living Legacy								1																																											
Karn, Scion of Urza						1		1				1																1	1														1				1				
Karn, the great creator								1				1																													1						1				
Karn's Bastion											1																																1				1				1
Karn's Sylex		1						1																																											
Karplusan Forest																								1																											
Katilda, Dawn Heart Prime																																1																			
Katsumasa, the animator																	1																																		
Kazandu Mammoth																		1																																	
Kedereki Leviathan										1																																									
Keening Stone							1																																												
Keeper of Secrets				1																																															
Keiga, the tide star																											1													1								1		1	
Kenreth the returned king																									1																										
Kenrith, the returned king																																																	1		
Kess, Dissident Mage																																											Commander								
Kessig Cage Breakers																																1																			
Kessig Naturalist																								1																											
Kessig Wolf Run		1																						1																											
Kestia, the Cultivator																																													1						
Ketria Triome										1	1		1			1									1																								1		
Khalani Ambush											1											1																		1											
Khalni Garden																																														1					
Khalni Hydra																		1																																	
Kiddie Coaster									a																																										
Kiera, the crashing wave																																																			1
Kiki Jiki, Mirror Breaker					1	1																																													
Kill! Mame! Burn!				1																																															
Kindred Discovery				1																							1																								
King Darien XLVIII															1																																				
Kinnan Bonder Prodigy																																								Commander											
Kiora, Behemoth Beckoner																						1																													
Kiora, Master of the Depths											1																																								
Kirtar's Wrath																							1																												
Klothys, God of destiny																																																	1		
Knight of new alara													1																																						
Kodama of the east tree		1								1																														1						1					
Kodama's Reach											1		1					1																																	
Koma, Cosmos Serpent										1																														1									1		
Kopala, Warden of Waves																											1																								
Kor Haven								1											1												1						1				1				1						
Korozda, Guildmage																												1																							
Kotori, Pilot Protegy																	1																																		
Kozilek, Butcher of Truth												Commander								1																						1					1	1			
Kozilek, the Great Distortion												1																																							
Kraum, Ludevic's Opus										1																																									
Krenko, Mob Boss					Commander																																														
Krenko, Tin Street Kingpen					1																																														
Krosan Grip																						1																		1											
Krosan Tusker											1											1											1																		
Kruphix, God of Horizons																																																	1		
Kukosho, the Evening Star																																					1														
Kyler, Sigardian Emissary																																1																			
Kyodai, Soul of Kamigawa																									1																										
Laboratory Maniac																										1												1	1		1										
Labyrinth of Skophos	1	1			1	1				1	1	1			1		1		1	1	1		1	1		1	1	1	1			1		1		1	1		1	1	1	1			1	1	1	1	1	1	1
Land Tax			1					1															1																												
Lavaclaw Reaches																																											1								
Lavalanche													1																																						
Lay Claim																																									1										
Layer of the Hydra																1																																			
Lazotep Chancellor																																																			
Leaf-Crown Visionary																																														1					
Legion War Boss					1																																														
Legions to Ashes							1																																												
Leinore, Autumn Soveriegn																																1																			
Leyline Binding		1											1																																						
Lich lord of Unx																																																			
Liesa, Forgotten Archangel																																					1														
Lightning Greeves							1					1		1											1		1		1								1			1		1		1	1					1	1
Ligntning Bolt	1																																														1				
Liliana of the Dark Realms														1																																					
Liliana of the Veil									1																																										
Liliana Vess																																		1									1							1	
Liliana, Deaths Majesty														1																																					
Liliana, Dreadhorde General																					1																1						1								
Liliana, the Last Hope									1																																										
Liliana, Waker of the dead			1																																																
Liliana's Contract				1																																															
Liliana's Reaver																																																			
Line Cutter									1																																										
Linvala, Keeper of Silence																																																			
Lion Sash			1														1														1																				
Lithoform Engine																																						1		1											
Littjar Mirrorlake																						1																										1			
Living Death									1												1																														
Lizard Blades																															1																				
Llanowar Elves										1																														1		1				1					
Llanowar Wastes																												1	1															1							1
Lochmere Serpent																																																			
Lolth, Spider Queen						1																																													
Lonely Sandbar																	1					1					1							1		1		1	1	1	1		1	1	1					1	
Long-term Plans								1																															1		1										
lord of atlantis																											1																								
Lord of Change				1																																															
Lord of the accursed																																		1																	
Lord of the Forsaken																					1																														
Lord of the Undead																																		1																	
Lord of the Void																																					1														
Lord Wingrace																														1																					
Lord Zandur, the collector				1																																							1							1	
Losheel, Clockwork Scholar																										1																									
Lotus Bloom																																																			
Lotus Cobra																									1																										
Lotus Field																																			1																
Loxodon Warhammer							1															1									1				1												1				
Lozhan Dragon's Legacy																																																			
Lucas, the sharpshooter																1																																			
Lucille																												1																							
Lumbering Falls																																								1											1
Luminarch's Aspirant																																1																			
Lure																													1																						
Luxior, Giada's Gift																																																			
Luxior, Giada's Gift										1																																									
Luxury Suite				1		1	1									1																			1		1						1								
Maddening Cacophony																																				1															
Maelstrom Archangel													1																																						
Maelstrom Colossus																						1																													
Maelstrom Nexus													1																																						
Maelstrom Pulse																																	1											1							
Maelstrom Wanderer											1																																								
Mage's Gutle																																									1										
Mageta the Lion																							Commander																												
Magister of worth			1																																																
Magister Sphinx																										1																									
Magnus the red				1																																															
Magus of the Order										1																																									
Make a stand															1																																				
Malicious Affliction														1																																					
Mana Barbs	1																																																		
Mana Confluence																				1																															
Mana Drain																	1		1			1					1												1												
Mana vault																																		1				1				1				1					
Manaform Hellkite						1																																1													
Manascape Refractor								1																																											
Mandate of Abandon				1																																															
Mangara of Corondor																																1																			
Mangara the Diplomat																																1																			
Manifold Key												1																																							
Manor Gate		1																																																	
Marble Diamond			1												1	1																																			
March of the Otherwordly Light			1										1																																						
Marileaf Pixie																																								1											
Marneus Caldar																1																																			
Marsh Flats			1	1					1																			1	1	1	1	1		1									1								
Martial Coup																							1																												
Masacre Worm									1												1																														
Mask of Griselbrand			1																																																
Maskwood Nexus	1				1							1								1				1			1		1			1																			
Master Biomancer											1																																								1
Master of Cruelties																1																																			
Master of the pearl trident																											1																								
Master Transmuter																										1																									
Mastermind's Acquistiion				1																													1		1																
Maul of the skyclaves																															1																				
Max, the daredevil																1																																			
Maze of Ith	1	1	1	1	1	1		1	1			1	1	1				1	1	1					1	1	1		1	1	1	1		1	1	1	1	1			1	1	1	1	1	1		1	1		
Maze's End		1																																																	
Mazirek, Karul death priest																												1																							
Meathook Massacre																			1															1																1	
Mech Hangar																	1																																		
Mech Titan Core																	1																																		
Mechanized Production																										1																									
Memnarch								1			1																											1													
Memorial To Genius																						1														1															
Memory Deluge										1																																									
Memory Erosion																																				1															
Memory Jar																																				1											1				
Mentor of the Meek																																																			
Mephidross Vampire																																			1																
Mercant Scroll																																							1												
mercilous eviction													1																						1		1														1
Merfolk Looter																											1																								
Merfolk Thaumaturgist																											1																								
Merrow Reejerey																											1																								
Merry-go-round									a																																										
Mesmeric Orb																					1													1																	
Metalwork Colossus												1																																							
Meteor Golem			1			1	1				1	1			1							1				1														1							1				
Michiko Kondo, Truth Seeker																																1																			
Might of Oaks																		1																																	
Migration Path													1		1										1								1																		
Migratory Greathorn																																	1																		
Miirym Sentinal Wyrm																									1																										
Mikaeus, the Unhallowed			1																															1																	
Mike, the dungeon master																Commander 2																																			
Mikokoro, Center of the Sea																											1									1						1									
Millstone																																				1															
Mimic Vat																												1																						1	
Minamo, School at water's edge																																								1											
Mind Flayer																1																																			
Mind Flayer, the Shadow														Commander																																					
Mind over Matter																																							1												
Mind Stone												1																																							
Mind's Eye					1							1																													1										
Mindlink Mech																	1																																		
Mindslaver							1																																												
Mirage Mirror																																															1				
Mirari's Wake															1					1												1													1						1
Mirran Crusader																																1																			
Mirror Box																																																1			
Mirror Hall Mimic																																																1			
Mirror of Fate																																							1												
Mirror Pool																											1															1		1				1		1	
Mirrored and Beseiged																										1																									
Mirrormade																																													1						
Misdirection																											1												1												
Mishra, Tamer of Mak Fawa							1																																												
Mishra's Factory												1		1			1	1	1			1	1				1		1							1						1				1					
Mission Briefing																																				1															
Mistveil Plains																							1																												
Misty Rainforrest											1																1		1			1		1								1				1					
Mnemonic Deluge																																							1												
Mobilization																																																			
Mobilzer Mech																	1																																		
Mogg War Martial					1																																														
Molten Tributary				1																																															
Momir Vig, Simic Visionary											1																																								
Moraug, Fury of Akoum										1														1																											
Mordenkainan																																											1								
Moritte of the Frost																																																1			
Morphic Pool				1												1										1																	1	1							
Mortal Combat																										1																									
Mortality Spear																													1				1																		
Mortarian, Daemon Prince				1																																															
Mortify																																					1														1
Moss Diamond											1				1	1		1												1																					
Mossfire Valley																								1																											
Mosswort Bridge																								1					1											1		1				1					
Mother of Runes																			1	1																															
Mox Opal																														1	1																1				
Mox Tantalite																									1					1		1																			
Muldratha, the grave tide																																												1							1
Mulldrifter											1																1																	1							
Murder																																																			
Murderous Rider			1			1								1					1										1				1	1																	
Mutagenic Growth																		1																																	
Mutavault					1													1													1																				
Muxus, Goblin Grandee					1																																														
Mycoloth																												1																							
Mycosynth Lattice								1																																							1				
Myojin of Cleansing Fire																							1																												
Myojin of Life's Web										1																																									
Myr Battlesphere																																															1				
Myriad Landscape	1		1											1	1			1				1	1	1												1		1				1									
Myrkul, lord of bones																																																			
Mystic Forge												1																																							
Mystic Gate							1	1									1		1							1															1				1						
Mystic Monastery							1						1																												1										
Mystic Sanctuary																						1					1							1		1		1	1	1											
Mystical Tutor																																				1		1	1												
Mystifying Maze												1																																							
Mythos of Nethrol																																	1																		
Nahiri, Heir of the ancients																															1																				
Narset Transcendent																																													1						
Narset, Parter of Veils								1											1																			1	1				1								
Nashi, Moon Sage's Scion														1																																					
Natural Order																								1																		1									
Nature's Lore																																1																			
Nazahn, Revered Bladesmith																				1																															
Near-Death Experience																										1																									
Necroduality																																		1																	
Necrogenesis																												1																							
Necromancy														1																				1									1	1						1	
Necron Deathmark																					1																														
Necropanther																																	1																		
Necropolis Regent																																			1																
Necroptence																										1																									
Necrotic Hex			1											1							1																														
Needleverge Pathway							1													1											1				1		1												1		
Nekrataal														1																																					
Nemada Primeval Warden																												1																							
Nephalia Academy																											1																								
Nesting Dragon						1																																													
Nethroi, apex of death																																	Commander																		1
Neutralize																																									1										
Never			1																																								1								
Nevinryl Urborg Tyrant																																																			
Nevinyrral's Disk																				1	1		1	1				1					1						1				1						1	1	
Nexus of Fate				1																																		1													
Neyith of the Dire Hunt																								1																											
Nezumi Graverobber														1																																					
Nicol Bolas																																																		1	
Nicol Bolas, Dragon God				1																																							1							1	
Nicol Bolas, God-Farrow																																											1							1	
Nicol Bolas, planeswalker																																											1							1	
Nicol Bolas, the deceiver																																																		1	
Nicol Bolas, the Raveger																																											1							Commander	
Nighthawk Scavenger																																	1																		
Nightpack Ambusher																								1																											
Nightshift of the living dead									1																																										
Nihil's Spellbomb																					1																														
Nikya of the Old Ways											1																																								
Nimble Obstructionist																																									1										
Nimbus Mage																	1																																		
Nin, the Pain Artist											1																																								
Nine-Fingers Keen																																																			
Nirkana Revenant														1																																					
Nissa of shadow bogs																																																			
Nissa, Vastwood Seer																		1																																	
Nissa, Voice of Zendykar																												1																							
Nissa, who shakes the world																		1																												1					
Niv Mezzet, Dragogenious																																						1													
Niv Mezzet, Parun																																						Commander												1	
Niv-Mezzet, the Fire Mind																																						1													
Nomad Outpost							1						1																						1		1														
Norwood Priestess																																														1					
Noxious Gearhulk							1																																				1								
Noxious Ghoul																																																			
Nullmage Shepherd																																														1					
Nullpriest of Oblivion														1																					1																
Nurgle's conscriptions				1																																															
Nurturing Peatland									1																			1	1															1							
Nut Collector																													1																						
Nykthos Paragon																																																			1
Nylea, God of the Hunt																																																	1		
Nylea, the keen-eyed																																																	1		
Nyxbloom Ancient																												1												1		1		1	1	1			1		
O-Kagachi, Vengeful Kami																									1																										
O-Kagachi, Vengeful Kami													1																																						
Ob Nixilis Reignited			1	1																														1			1													1	
Ob Nixilis, the Fallen				1																																															
Ob Nixilix, Unshackled				1																																															
Obeka, Brute Chronologist							1																																												
Obliterate	1					1														1										1																					
Oblivion Ring																																													1						
Oblivion Stone	1	1	1	1	1		1	1	1	1		1	1	1			1	1	1	1	1		1			1	1	1	1		1	1		1	1	1	1	1	1		1	1		1	1		1	1	1	1	1
Obsidian Obelisk													1																																						
Octavia, Living Thesis										1																																									
Octupus Umbra																																													1						
Odrich, Lunarch Marshal																																1																			
Odrich, Master Tactitian																																1																			
Ohran-Reif, the Vastwood																												1	1																	1					
Ohran, Frostfang																													1											1						1					
Okina, Tempile to the Grandfathers																				1																										1					
Oko, Theif of crowns													1			1																													1			1			
Old Gnawbone															1																									1											
Old Stick Fingers																																												1							
Olivia Voldarien																																			1																
Olivia, Crimson Bride																																			1																
Omen of the sun															1																																				
Ominous Seas																																									1										
Omnath, Locust of Creation		Commander																																																	
Omniscience																																						1													
Once upon a time		1									1									1					1				1			1								1		1		1	1			1	1		1
Ondu Inversion (flip)		1	1												1	1	1		1	1			1		1	1					1	1	1		1		1				1				1				1		
Open the Armory																															1																				
Opportunity																						1																													
Opposition								1																																											
Opposition Agent						1								1																																					
Opulent Palace													1																																						1
Oracle of Muldaya		1																1											1																	1		1			
oran-reif hydra																		1																																	
Oran-Ried, the Vastwood																								1																											
Orca, Seige Demon						1																																													
Orcish Settlers																														1																					
Orcus, Prince of Undeath				1																																															
Organic Extinction																	1																																		
Ornithopter of Paradise																	1		1					1	1								1																		
Oros the avenger																									1																										
Orvar, The All-form																																																1			
Orzhov Signet																1																																			
Orzovh Basilica			1																														1																		
Orzovh Guildgate			1																														1																		
Orzovh Signet																																			1		1														
Osgir, the reconstructor																															1																				
Otawara, Soaring City				1				1			1																																								
Out of the Tombs																					1																														
Outland Liberator																								1																											
Outlaw's Merriment																				1											1																				
Outmuscle																																																			1
Overchard Amalgam																																		1																	
Overcome																						1																													
Overgrown Farmland															1																	1													1						
Overgrown Tomb									1																			1	1	1																					1
Overrun																						1																													
Overseer of the Damned																																					1														
Overwhleming Forces			1																																																
Ox of Agonoth																																																			
Pact of Negation																																							1												
Pair-o-Dice Lost									1									1																																	
Palladium Myr												1																																							
Panharmonicon											1																		1																						
Paradise Druid																																								1											
Parallel Lives															1													1	1																						
Parhelion II																	1																																		
Pashalik Mons					1																																														
Path of Anscestry		1		1			1											1				1		1	1		1	1	1		1	1	1																	1	
Path to Exile		1	1					1					1			1	1		1				1								1	1			1		1				1				1				1		1
Patient Rebuilding																																				1															
Patron of the Vein																																			1																
Pelakka Wurm																						1																													
Pendlehaven																																										1				1					
Pernicious Deed																												1	1															1							
Personal Tutor																																							1												
Pest infestation															1																																				
Petting Zoo Keeper									1																																										
Phage the untouchable																										1																									
Phantasmal Image											1																																					1			
Phantom of Nishoba																																																			1
Pharika, God of Afflicgtion																																																	1		
Phryxia metamorpth																										1																						1			
Phryxiam Tower																													1																						
Phryxian Trinoform																												1	1											1											
Phyrexian Obliterator																																												1							
Phyrexian Rebirth																							1																												
Pick-a-beeble									a																																										
Piper of the swarm						1																						1																							
Plague Drone				1																																															
Planar Bridge								1				1																											1			1	1								
Planar Cleansing																							1																												
Planar Portal																																							1												
Planar Portal												1																																							
Planewide Celebration															1																																				
Platinum Angel																																					1			1				1							
Platinum Emperion																																								1											
Play of the Game			1																				1																												
Plaza of Heroes		1		1					1				1			1									1								1																		
Polluted Delta																					1					1												1			1							1	1		
Polluted Mire			1						1					1																																				1	
Ponder																	1					1				1	1							1				1					1							1	1
Pongify																																				1															
Porphoros, Bronze-blooded																																																	1		
Port town							1																																												1
Portal to Phyrexia																																															1				
Power word kill				1												1																																			
Praetor's Council																												1														1			1			1			
Prairie Stream							2										1																												1						
Predator, Flagship												1					1			1			1	1		1	1	1																			1				
Preordained																									1									1		1		1	1				1		1			1	1	1	
Priest of titania																																														1					
Primal Adversary																								1																											
Primal Empathy																						1																													1
Primal Might																		1																																	
Primal Surge																																														1					
Primal Vigor																		1																																	
Prime Speaker Vannifar																																								1											
Prime Speaker Zegana											1																																								
Primeval Spawn													1																																						
Primevals' Glorious Rebirth			1				1																																												
Prismatic Vista																		1																		1									1	1	1	1			
Privileged Position																																																			1
Prodigy's Prototype																	1																																		
Profane Command														1																					1																1
Profane Command														1																																					
Professor Onyx			1																																																
Propaganda								1																												1															
Prosperity																			1																	1															
Prowling Serpopard																																	1																		
Psychic Corrosion																																				1															
Pure steel paladin																															1																				
Purphoros, God of the Forge	1				1																																												1		
Purphuros Intervention	1																																																		
Putrify																																																			1
Quandrix Campus																						1																													
Queen Marchesa							1																																												
Questing Beast									1																																			1							
Queza, Augur of Agonies																			Commander																																
Quick Fixer									1																																										
Quicksilver Amulet												1																																							
Quietus Spike																															1																				
Quietus Spike							1																																												
Radiant's Judgement																																									1										
Radiate						1																																													
Raf Capashen, Ship's Mage																	1																																		
Rafael, Fiendish Savior																																																			
Raffine's Tower																			1																																
Ragavan, Nimble Pilfler																																																			
Rage Reflection																																																			
Raider's Karve																	1																																		
Rakdos Locket																																																		1	
Rakdos Signet						1																								1					1																
Ramos, Dragon Engine													1																																						
Rampagin Baloths		1																																																	
Ramunap Excavator																														1												1									
Ranger Class										1																																									
Rankle, Master of Pranks														1					1																																
Rashidan Deckhand																											1																								
Rashidan Port																								1			1	1																		1					
Rattleclaw Mystic											1																																								
Raugrin Crystal																																									1										
Raugrin Triome																1									1																1								1		
Ravenous Chupacabra			1																																																
Ravenous Rotbelly																																		1																	
Ravenous Squirrel																													1																						
Raving Visionary																											1																								
Razaketh the foul blooded																					1							1																							
Razorverge Thicket															1																																				
Read the Runes																			1																																
Reality Smasher												1																																							
Realm Walker																																																			
Realm-Cloaked GIant			1																	1			1										1																		
Reanimate														1					1		1								1								1						1							1	
Reap and Sow																																																	1		
Reaver Titan																	1																																		
Reckless Stormseeker																								1																											
Reckoner Bank Buster																	1																																		
Reclamation Sage																																														1					
Recruit the Worthy															1																																				
Reflecting Pool		1					1						1			1																		1																	
Regrowth		1																				1						1	1	1		1	1							1		1			1						1
Reins of Power																																				1							1								
Reiterate	1																																																		
Reiver Demon				1																																															
Rejeuvenating Springs																1																								1									1		
Release the Dogs															1																																				
Release the gremlins	1																																																		
Relic of Progenisis																					1																														
Relic Robber					1																																														
Reliquary Tower						1			1			1					1		1			1	1			1	1	1			1			1		1				1	1	1				1	1			1	
remote Isle																	1					1					1									1		1	1	1	1									1	
Renata, called to the hunt																																																			1
Repeated Reverberration	1																																																		
Replenish																																													1						
Replicating ring							1															1	1							1																					
Research Theif																	1																																		
Reshape the earth		1																																															1		
Resurection Orb																					1																														
Resurrection																1																																			
Retreive																																										1									
Return of the Wild Speaker																																										1									
Return of the Wildspeaker																																	1																		
Revel in Riches																										1																									
rewind																																						1	1		1										
Reya, Dawn Bringer																																					1														
Rhonas, The Indomidable																																								1				1					1		
Rhystic Study																																							1												
Rick, Steadfast Leader																																1																			
Riders of Gaveney																																1																			
Rienne, Angel of Rebirth													1																																						
Rimewood Falls																						1			1																										
Rings of brighthearth																																								1											
Rise of the dark realms																					1																														
Rishadan Port												1																														1					1				
Rite of replication																																						1										1		1	
Rites of Flourishing																																										1									
Rith, Liberated Primeval		1																							1																										
River of Tears							1																																												
Riverglide pathway (flip)				1			1			1	1																											1											1		
Rockfall Vale																				1				1																											
Rogue's Passage			1									1			1							1	1	1																											
Rohan, Fearless sparkmage	1																																																		
Roller Coaster									a																																										
Rolling Earthquake	1	1		1		1																																													
Rooftop Storm																																		1																	
Rootbound Crag											1									1				1																											
Rooting Moloch																																									1										
Rootwater Matriarch																											1																								
Rootwater Mystic																											1																								
Rootwater Shaman																											1																								
Rootwater Theif																											1																								
Rout																							1														1														
Rowan Kenrith																																											1								
Ruby Medallion																																															1				
Rugged Prairie							1													1											1				1		1				1										
Rugged Roundry																																																			
Ruination																														1																					
Ruinous Ultimatum																																																			
Rune Velt Hoard Master					1																																														
Rune-Scarred Demon				1					1												1																1							1							
Rupture Spire																																	1																		
Ryusei, the falling star																									1																										
Sacred Excavation																																									1										
Sacred Foundry																				1					1						1				1		1														
Saffi Eriksdotter																																1																			
Sanctum of Ugin												1																																							
Sand Step Citadel													1																																						1
Sandwurn Convergence																												1												1				1	1						
Sanguine Blood																			1																																
Saphire Medallion																											1																								
SapSeep Forrest																																														1					
Sardian Avenger					1																																														
Sarkhan, the Dragonspeaker																				1																															
Saryth, the Viper's fang																		1						1								1													1						
Savage Lands													1																																						
Savai Triome							1						1			1									1										1		1												1		
Scalding tarn											1						1								1		1				1					1									1						
Scale Up																													1																						
Scattered Groves															1																	1													1						
Scavenging Ooze																				1																															
Sceptre of eternal glory																					1																														
Scholar of New Horizons																																1																			
Scholar of the ages										1												1																													
Scion of draco													1												1																										
Scoured Barrons			1																																																
Scourge of the throne																																					1													1	
Scrap Mastery																																															1				
Scrapdriver Serpent																						1																													
Scroll Rack																																				1			1	1											
Sculpting Steel						1	1	1												1				1							1																1				
Scute Swarm		1													1			1										1	1																						
Sea floor oracel																											1																								
Sea Gate		1																																																	
Sea of Clouds								1								1	1									1																			1						
Seachrome Coast																	1																																		
Seagate Restoration																																							1												
Search for Azcanta (flip)																																												1	1						
Seaside Citadel													1																																1						1
Secluded Steppe			1														1						1									1									1										
See the Truth																																											1								
Seedborn Muse																																								1		1				1					
Seek the Horizon																																										1									
Sejiri Shelter															1																																				
Selesenya Guildgate		1																															1																		
Selesenya signet															1																																				
Selfless Gliftweaver																										1																									
Semester's End																				1																															
Sen Triplets																										1																									
Sengir, The Dark Barron																																			1																
Sensei's Divining Top						1		1				1										1																		1											
Sephera, the Sky Blade			1																						1												1														
Septor Of Dominance							1																																												
Seraphic Great Sword																															1																				
Serpent of Yawning Depths										1																																									
Serra Ascendant																																1																			
Serra's Emissary																									1							1					1														
Serum Visions								1														1																													
Setessan Champion																																													1						
Sever the Bloodline						1								1														1						1									1	1							
Shadow Born Demon				1																																															
Shadowheart Dark Justicar																1																																			
Shadowspear																					1										1			1	1			1							1						
Shakashima of a thousand faces																																				1												Commander 1			
Shakashima, the imposter																																				1												1			
Shakashima's Protege																																																			
Shakashima's Will																																																1			
Shalai, Voice of Plenty																																																			1
Shamanic Revalation																																1																			
Shard of the night bringer									1												1																														
Shard of the Void Dragon																					1																														
Shared Summons																		1																																	
Shark Typhoon																																				1		1			1		1								
Sharuum, the hegemon							1																			1																									
Shattered Sanctum							1																												1																
Shatterskull Smashing (flip)						1																									1						1												1		
Shelldock Isle																																				1															
Sheltered Thicket											1									1				1																											
Sheoldred, the Apocalypse																			1		1																														
Sheoldred, Whispering One			1	1										1							1								1						1																
Shield of Kaldra																															1																				
Shielded by Faith																																													1						
Shineshadow Snarl																																	1																		
Shipwreck Marsh																																		1																	
Shivan Reef																																						1													
Shizo, Death's Storehouse																																		1									1								
Shorikai, Genesis Engine																	Commander																																		
Siege Behemoth																																														1					
Siege-Gang Commander					1	1																																													
Sifter Wurm																						1																													
Sigarda, Champion of Light																																1																			
SIgarda, Harron's Grace																																1																			
Sigil of the Empty Throne																																													1						
Silas Renn, Seeker Adept							Commander 2																																												
Silent Clearing																										1							1		1		1														
Silent Gravestone																																																			
Silias Renn, Seeker adept																										1																									
Silundi Visions (flip)																						1																										1			
Silvan Anthem																													1																						
Silvan Caryatid																																																			1
Silverfur Partisan																								1																											
Silverquill Campus			1																																																
Simic Growth Chamber																						1																													
Simic Guildgate		1																				1																													
Simic Signet																1						1																													
Simic Skyswallower											1																																								
Sisay's Ring												1		1																																					
Skeletal Vampire																																																			
Skirk Prospector					1																																														
Skull of orm																																							1												
Skullclamp 	1				1				1	1					1							1		1			1		1		1	1		1	1					1	1	1					1			1	
Sky Diamond											1					1											1									1			1												
Sky Soverign Console Flagship																	1																																		
